urn:cts:greekLit:tlg5026.msA.hmt:1.1179.comment	πτολεμαῖος τελευταῖος λαμβάνω μῆρα ϊακώτερον εκδέξηται κάοςXκαίω ἀρισταρχος δύναμαι καίω πλήρης ἔκθλιψις γενομενης ἐντελής ὁράω ποτέXποτός πίων μηρι ἐκηα ποιητήςXποιητός λέγοςXλέγω χρόνος ἔξωθεν φυλάζωXφυλάσσω ῥῆμα συνάρχω ἐνίστημι ἀποφαίνω ἐντελής μηρία μηρον συγκοπή γίγνομαι εὐθύνω τόνος λήγω μεταπλάσσω οὐδέτερος γένος ον λήγω τόνος φυλάζωXφυλάσσω ζυγόνXζυγός ζυγόνXζυγός ζυγή δίφρος δίφρος δίφρας μηρός μηρός μηρά μῆρα μήρους δίδωμι κυρίωςXκυριόωXκύριος ἁγιάζω θεός μῆρα καλέω σημαίνω τόνος ἁμάρτημα λέξις ἀπολύω
urn:cts:greekLit:tlg5026.msA.hmt:1.118.comment	ἄπαξ εἴρωXἐρῶXἔρομαι κρήγυος ἀληθής αγαθόν ἀντί-διαστέλλω γοῦν ἀεί κακός φίλοςXφῖλος
urn:cts:greekLit:tlg5026.msA.hmt:1.1180.comment	πτολεμαῖος άργ' ἄλλος κοινός ἀνάγνωσις παραπληρωματικός λαμβάνω σύνδεσμος ἐκεῖνος συστέλλω φυλάζωXφυλάσσω καθότι ἤδηXἦδος ἔθος ποιητήςXποιητός ἐλλείπω ἄρθρον
urn:cts:greekLit:tlg5026.msA.hmt:1.1181.comment	πόνος ἱερουργιας ἔργνυμιXἔργον οὐδέποτε ἀλγιδόνα πόνος ἐρῶ
urn:cts:greekLit:tlg5026.msA.hmt:1.1182.comment	τεύχω τυγχάνω τυγχάνω τυγχάνω ποιητικός ἰωνικός διπλασιασμός οἰκεῖος δύο ἄριστονXἄριστος τροπέωXτροπή τεύχω χάζω χάζω χάζω ἀχαιοι
urn:cts:greekLit:tlg5026.msA.hmt:1.1183.comment	ἔρος αἰολικός ψιλωτέον ρ φωνήεις επιφερομένου ψιλόω ἵημι δασεώς ἵημι β ἀόριστος ἧν εἷς μετοχή ἀφεῖς έμαι έμην ἵημι ἵημι ἵημι πλεονάζω πολλαχοῦ
urn:cts:greekLit:tlg5026.msA.hmt:1.1184.comment	ἀρχαῖος ἔθος οἰνοχοέω νέοςXνεόω παίδας μέχρι δουλόωXδοῦλος φημί γανυμήδηXγανυμήδης ἅπτωXἡβάωXἥβη ὑπηρέτης θέαXθεάXθεάω
urn:cts:greekLit:tlg5026.msA.hmt:1.1185.comment	όλης φημί ἡμέραXἥμερος λείπω ἡμέραXἥμερος πλέω λειπον εὐωχέω
urn:cts:greekLit:tlg5026.msA.hmt:1.1186.comment	παιάν ἀπόλλων κατάλυσιςXκαταλύω λοιμός ὕμνος καλός καλός
urn:cts:greekLit:tlg5026.msA.hmt:1.1187.comment	ἀθετέω νομίζω ἀπόλλων παιάνXπαιήων εἰρέωXἐρῶ προστίθημι γίγνομαι δισσολογία προερέω πανημέριος μολπάζωXμολπή θεός ϊλάσκοντο εἶπον ποιητήςXποιητός φρήν τέρπω ἀκούω διδάσκω ἐγώXἡμός πλέοςXπλέωXπλείωνXπλπλείων θυσίαXθυσιάζω τέρπω θεός οἰκέωXοἰκείωXοἰκεῖος ἕκαστος ὕμνος
urn:cts:greekLit:tlg5026.msA.hmt:1.119.comment	συντείνω δεκα ἔτος μαντεύομαιXμαντεύω αὐλίς πόλεμος συμβολου στρουθός
urn:cts:greekLit:tlg5026.msA.hmt:1.12.comment	ἀγαμεμνων ὅμηρος ἀτρεύς πέλοψ μήτηρ αεροπης ησίοδον πλεισθένης γένος μυκηναιος ἄγω ναῦς ῎ϊλιον πορθέω ἴλιXἴλιονXἴλιοςXἴλιοσλιος ὑποστρέφω οἴκαδε ἀναιρειται αἴγισθος θυέστηςXθύεστον δόλος ευωχιας καιρός ἀποδημιας εμοιχευσε ἀγαμέμνων γυνή κλυταιμνηστραν τραγικός κλυταιμνήστραXκλυταιμνήστρη ἀναιρέω χιτών ἔχω δίεκδυσιν τράχηλος ἔχω υἱός ὀρεστην θυγάτηρ τέσσαρες λοδίκην χρυσοθεμιv ἰφίγενειαXἰφιγένειαXἰφιγενεία ἠλέκτρα
