-	-	Most Frequent Occuring Words for Scholia Type	-	-
urn	name	Occurrences of Name in Scholia Type	Percentage of Name against Total Names Mentioned	Percentage of Name against Total Nummber of Words in Scholia Type
urn:cite:hmt:pers.pers320	Zephyrus	5	0.13%	0.0%
urn:cite:hmt:pers.pers403	Europa	5	0.13%	0.0%
urn:cite:hmt:pers.pers213	Aegeus	5	0.13%	0.0%
urn:cite:hmt:pers.pers462	Atlas	5	0.13%	0.0%
urn:cite:hmt:pers.pers106	Zoilus	5	0.13%	0.0%
urn:cite:hmt:pers.pers168	Nereus	5	0.13%	0.0%
urn:cite:hmt:pers.pers659	Themis	5	0.13%	0.0%
urn:cite:hmt:pers.pers511	Lampus	4	0.1%	0.0%
urn:cite:hmt:pers.pers463	Glaucus	4	0.1%	0.0%
urn:cite:hmt:pers.pers37	Titans	4	0.1%	0.0%
urn:cite:hmt:pers.pers81	Argeius	4	0.1%	0.0%
urn:cite:hmt:pers.pers503	Asius	4	0.1%	0.0%
urn:cite:hmt:pers.pers666	Pandion	4	0.1%	0.0%
urn:cite:hmt:pers.pers471	Molus	4	0.1%	0.0%
urn:cite:hmt:pers.pers333	Thucydides	4	0.1%	0.0%
urn:cite:hmt:pers.pers614	Telamon	4	0.1%	0.0%
urn:cite:hmt:pers.pers576	Istros	4	0.1%	0.0%
urn:cite:hmt:pers.pers148	Pirithous	4	0.1%	0.0%
urn:cite:hmt:pers.pers515	Dolops	4	0.1%	0.0%
urn:cite:hmt:pers.pers65	Aegyptus	4	0.1%	0.0%
urn:cite:hmt:pers.pers904	Acrisius	4	0.1%	0.0%
urn:cite:hmt:pers.pers1006	Electra	4	0.1%	0.0%
urn:cite:hmt:pers.pers108	Chryseis	4	0.1%	0.0%
urn:cite:hmt:pers.pers405	Phoenix	4	0.1%	0.0%
urn:cite:hmt:pers.pers406	Jason	4	0.1%	0.0%
urn:cite:hmt:pers.pers250	Ixion	4	0.1%	0.0%
urn:cite:hmt:pers.pers208	Rhea	4	0.1%	0.0%
urn:cite:hmt:pers.pers484	Philotimus	4	0.1%	0.0%
urn:cite:hmt:pers.pers248	Heracleon	4	0.1%	0.0%
urn:cite:hmt:pers.pers308	"Ptolemy Epithetes"	4	0.1%	0.0%
urn:cite:hmt:pers.pers650	Actor	4	0.1%	0.0%
urn:cite:hmt:pers.pers1002	Pleione	4	0.1%	0.0%
urn:cite:hmt:pers.pers78	Licymnius	4	0.1%	0.0%
urn:cite:hmt:pers.pers461	Maia	4	0.1%	0.0%
urn:cite:hmt:pers.pers85	Rhianus	4	0.1%	0.0%
urn:cite:hmt:pers.pers517	Agelaus	4	0.1%	0.0%
urn:cite:hmt:pers.pers371	Asius	4	0.1%	0.0%
urn:cite:hmt:pers.pers45	Adrastus	4	0.1%	0.0%
urn:cite:hmt:pers.pers132	Asopus	4	0.1%	0.0%
urn:cite:hmt:pers.pers136	Seleucus	4	0.1%	0.0%
urn:cite:hmt:pers.pers676	Theano	4	0.1%	0.0%
urn:cite:hmt:pers.pers612	"Demetrius Gonypesus"	4	0.1%	0.0%
urn:cite:hmt:pers.pers302	Chrysippus	4	0.1%	0.0%
urn:cite:hmt:pers.pers569	Erato	4	0.1%	0.0%
urn:cite:hmt:pers.pers680	Chrysippus	4	0.1%	0.0%
urn:cite:hmt:pers.pers897	Aglaea	3	0.08%	0.0%
urn:cite:hmt:pers.pers147	Helius	3	0.08%	0.0%
urn:cite:hmt:pers.pers70	Telephus	3	0.08%	0.0%
urn:cite:hmt:pers.pers905	Semele	3	0.08%	0.0%
urn:cite:hmt:pers.pers514	Opites	3	0.08%	0.0%
urn:cite:hmt:pers.pers55	Philonome	3	0.08%	0.0%
urn:cite:hmt:pers.pers681	Leuconotus	3	0.08%	0.0%
urn:cite:hmt:pers.pers265	Alcman	3	0.08%	0.0%
urn:cite:hmt:pers.pers901	Uranus	3	0.08%	0.0%
urn:cite:hmt:pers.pers18	Momus	3	0.08%	0.0%
urn:cite:hmt:pers.pers673	Strymo	3	0.08%	0.0%
urn:cite:hmt:pers.pers478	Oileus	3	0.08%	0.0%
urn:cite:hmt:pers.pers271	Telemachus	3	0.08%	0.0%
urn:cite:hmt:pers.pers445	Ascleipius	3	0.08%	0.0%
urn:cite:hmt:pers.pers480	Polydamas	3	0.08%	0.0%
urn:cite:hmt:pers.pers11	Erechtheus	3	0.08%	0.0%
urn:cite:hmt:pers.pers688	Aethra	3	0.08%	0.0%
urn:cite:hmt:pers.pers555	Socus	3	0.08%	0.0%
urn:cite:hmt:pers.pers115	Cheiron	3	0.08%	0.0%
urn:cite:hmt:pers.pers210	Demeter	3	0.08%	0.0%
urn:cite:hmt:pers.pers903	Danae	3	0.08%	0.0%
urn:cite:hmt:pers.pers43	Gaea	3	0.08%	0.0%
urn:cite:hmt:pers.pers170	Eetion	3	0.08%	0.0%
urn:cite:hmt:pers.pers199	Rhadamanthys	3	0.08%	0.0%
urn:cite:hmt:pers.pers152	Hippodamia	3	0.08%	0.0%
urn:cite:hmt:pers.pers628	Eumolpus	3	0.08%	0.0%
urn:cite:hmt:pers.pers26	Pleisthenes	3	0.08%	0.0%
urn:cite:hmt:pers.pers134	Amalthea	3	0.08%	0.0%
urn:cite:hmt:pers.pers683	Amerias	3	0.08%	0.0%
urn:cite:hmt:pers.pers200	Perseus	3	0.08%	0.0%
urn:cite:hmt:pers.pers372	Cotys	3	0.08%	0.0%
urn:cite:hmt:pers.pers35	Leto	3	0.08%	0.0%
urn:cite:hmt:pers.pers448	Polites	3	0.08%	0.0%
urn:cite:hmt:pers.pers495	Alcibiades	3	0.08%	0.0%
urn:cite:hmt:pers.pers672	Emathion	3	0.08%	0.0%
urn:cite:hmt:pers.pers177	Memnon	3	0.08%	0.0%
urn:cite:hmt:pers.pers1038	Nicippe	3	0.08%	0.0%
urn:cite:hmt:pers.pers545	Achelous	3	0.08%	0.0%
urn:cite:hmt:pers.pers14	Hellen	3	0.08%	0.0%
urn:cite:hmt:pers.pers53	Tennes	3	0.08%	0.0%
urn:cite:hmt:pers.pers465	Amphimachus	3	0.08%	0.0%
urn:cite:hmt:pers.pers375	Derceto	3	0.08%	0.0%
urn:cite:hmt:pers.pers100	Deucalion	3	0.08%	0.0%
urn:cite:hmt:pers.pers212	Merion	3	0.08%	0.0%
urn:cite:hmt:pers.pers274	Clytius	3	0.08%	0.0%
urn:cite:hmt:pers.pers303	Hellanicus	3	0.08%	0.0%
urn:cite:hmt:pers.pers156	Eris	3	0.08%	0.0%
urn:cite:hmt:pers.pers3	Glaucon	3	0.08%	0.0%
urn:cite:hmt:pers.pers52	Cycnus	3	0.08%	0.0%
urn:cite:hmt:pers.pers144	Merops	3	0.08%	0.0%
