Iliad Line,Label,First Scholion,Second Scholion
urn:cts:greekLit:tlg0012.tlg001.msA:1.522,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1286,urn:cts:greekLit:tlg5026.msAil.hmt:1.1309
urn:cts:greekLit:tlg0012.tlg001.msA:1.524,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1287,urn:cts:greekLit:tlg5026.msAil.hmt:1.1310
urn:cts:greekLit:tlg0012.tlg001.msA:1.527,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1331,urn:cts:greekLit:tlg5026.msAil.hmt:1.1350
urn:cts:greekLit:tlg0012.tlg001.msA:1.53,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.64,urn:cts:greekLit:tlg5026.msAil.hmt:1.212
urn:cts:greekLit:tlg0012.tlg001.msA:1.530,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1334,urn:cts:greekLit:tlg5026.msAil.hmt:1.1355
urn:cts:greekLit:tlg0012.tlg001.msA:1.534-1.535,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:1.1337,urn:cts:greekLit:tlg5026.msAim.hmt:1.1347
urn:cts:greekLit:tlg0012.tlg001.msA:1.538,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1339,urn:cts:greekLit:tlg5026.msAil.hmt:1.1360
urn:cts:greekLit:tlg0012.tlg001.msA:1.539,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1340,urn:cts:greekLit:tlg5026.msAil.hmt:1.1361
urn:cts:greekLit:tlg0012.tlg001.msA:1.553,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1389,urn:cts:greekLit:tlg5026.msAil.hmt:1.1410
urn:cts:greekLit:tlg0012.tlg001.msA:1.556,MainInt,urn:cts:greekLit:tlg5026.msA.hmt:1.1392,urn:cts:greekLit:tlg5026.msAint.hmt:1.1405
urn:cts:greekLit:tlg0012.tlg001.msA:1.558,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1393,urn:cts:greekLit:tlg5026.msAil.hmt:1.1414
urn:cts:greekLit:tlg0012.tlg001.msA:1.564,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:1.1394,urn:cts:greekLit:tlg5026.msAim.hmt:1.1402
urn:cts:greekLit:tlg0012.tlg001.msA:1.569,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1398,urn:cts:greekLit:tlg5026.msAil.hmt:1.1417
urn:cts:greekLit:tlg0012.tlg001.msA:1.570,IntIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.1418,urn:cts:greekLit:tlg5026.msAint.hmt:1.1408
urn:cts:greekLit:tlg0012.tlg001.msA:1.576,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1401,urn:cts:greekLit:tlg5026.msAil.hmt:1.1422
urn:cts:greekLit:tlg0012.tlg001.msA:1.578,ImIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.1459,urn:cts:greekLit:tlg5026.msAim.hmt:1.1450
urn:cts:greekLit:tlg0012.tlg001.msA:1.58,MainInt,urn:cts:greekLit:tlg5026.msA.hmt:1.65,urn:cts:greekLit:tlg5026.msAint.hmt:1.89
urn:cts:greekLit:tlg0012.tlg001.msA:1.590,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1442,urn:cts:greekLit:tlg5026.msAil.hmt:1.1465
urn:cts:greekLit:tlg0012.tlg001.msA:1.593,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1446,urn:cts:greekLit:tlg5026.msAil.hmt:1.1468
urn:cts:greekLit:tlg0012.tlg001.msA:1.594,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1447,urn:cts:greekLit:tlg5026.msAil.hmt:1.1469
