urn:cts:greekLit:tlg0012.tlg001.msA:10.461	msAim.hmt:10.4550 vs msAint.hmt:10.4554	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:10.464	msAext.hmt:10.4559 vs msAim.hmt:10.4551	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:10.476	msA.hmt:10.4548 vs msAext.hmt:10.4560	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:10.505	msA.hmt:10.4606 vs msAim.hmt:10.4613	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:10.515	msA.hmt:10.4609 vs msAext.hmt:10.4616	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:10.528	msA.hmt:10.4632 vs msAim.hmt:10.4637	16.67%
urn:cts:greekLit:tlg0012.tlg001.msA:10.534	msAext.hmt:10.4646 vs msAim.hmt:10.4640	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:10.546	msA.hmt:10.4636 vs msAim.hmt:10.4644	46.15%
urn:cts:greekLit:tlg0012.tlg001.msA:10.559	msA.hmt:10.4656 vs msAint.hmt:10.4666	62.5%
urn:cts:greekLit:tlg0012.tlg001.msA:10.570	msA.hmt:10.4658 vs msAint.hmt:10.4667	10.0%
urn:cts:greekLit:tlg0012.tlg001.msA:10.579	msA.hmt:10.4663 vs msAim.hmt:10.4665	20.0%
urn:cts:greekLit:tlg0012.tlg001.msA:10.6	msA.hmt:10.5 vs msAint.hmt:10.32	33.33%
urn:cts:greekLit:tlg0012.tlg001.msA:10.75	msA.hmt:10.81 vs msAim.hmt:10.85	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:10.79	msAim.hmt:10.104 vs msAint.hmt:10.106	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.1	msA.hmt:11.1 vs msAint.hmt:11.1	16.67%
urn:cts:greekLit:tlg0012.tlg001.msA:11.104	msA.hmt:11.53 vs msAim.hmt:11.13	60.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.11	msA.hmt:11.4 vs msAim.hmt:11.1	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.128	msA.hmt:11.63 vs msAim.hmt:11.16	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.140	msA.hmt:11.66 vs msAim.hmt:11.19	75.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.141	msA.hmt:11.67 vs msAim.hmt:11.20	25.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.144	msA.hmt:11.69 vs msAim.hmt:11.3003	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.184	msA.hmt:11.86 vs msAim.hmt:11.22	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.24	msA.hmt:11.10 vs msAim.hmt:11.2	50.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.256	msA.hmt:11.109 vs msAim.hmt:11.25	85.71%
urn:cts:greekLit:tlg0012.tlg001.msA:11.257	msA.hmt:11.110 vs msAint.hmt:11.10	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.27	msA.hmt:11.13 vs msAim.hmt:11.3	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.300	msAext.hmt:11.6 vs msAint.hmt:11.12	100.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.32	msA.hmt:11.15 vs msAint.hmt:11.4	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.356	msA.hmt:11.138 vs msAim.hmt:11.38	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.368	msA.hmt:11.141 vs msAim.hmt:11.39	33.33%
urn:cts:greekLit:tlg0012.tlg001.msA:11.371	msA.hmt:11.143 vs msAim.hmt:11.40	15.38%
urn:cts:greekLit:tlg0012.tlg001.msA:11.38	msA.hmt:11.19 vs msAint.hmt:11.5	66.67%
urn:cts:greekLit:tlg0012.tlg001.msA:11.391	msA.hmt:11.152 vs msAint.hmt:11.14	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.40	msA.hmt:11.20 vs msAext.hmt:11.1	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.430	msA.hmt:11.165 vs msAim.hmt:11.52	33.33%
urn:cts:greekLit:tlg0012.tlg001.msA:11.437	msA.hmt:11.167 vs msAint.hmt:11.18	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.459	msAext.hmt:11.12 vs msAim.hmt:11.55	50.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.462	msAim.hmt:11.56 vs msAint.hmt:11.21	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.532	msA.hmt:11.199 vs msAext.hmt:11.14	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.54	msA.hmt:11.30 vs msAim.hmt:11.6	77.78%
urn:cts:greekLit:tlg0012.tlg001.msA:11.546	msAim.hmt:11.65 vs msAint.hmt:11.25	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.55	msA.hmt:11.31 vs msAint.hmt:11.6	25.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.583	msA.hmt:11.217 vs msAint.hmt:11.28	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.589	msA.hmt:11.218 vs msAint.hmt:11.29	50.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.596	msA.hmt:11.219 vs msAint.hmt:11.31	25.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.601	msA.hmt:11.221 vs msAim.hmt:11.3006	14.29%
urn:cts:greekLit:tlg0012.tlg001.msA:11.622	msA.hmt:11.226 vs msAim.hmt:11.75	0.0%
