Line Number	Scholia Being Compared and percentage of Words from the Small Schol in the Longer Schol
urn:cts:greekLit:tlg0012.tlg001.msA:17.105	msA.hmt:17.44 (13) vs msAext.hmt:17.3 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:17.105	msA.hmt:17.44 (13) vs msAext.hmt:17.4 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:17.105	msA.hmt:17.46 (18) vs msA.hmt:17.45 (12): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:17.105	msA.hmt:17.45 (12) vs msAext.hmt:17.3 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:17.105	msA.hmt:17.45 (12) vs msAext.hmt:17.4 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:17.105	msA.hmt:17.46 (18) vs msAext.hmt:17.3 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:17.105	msA.hmt:17.46 (18) vs msAext.hmt:17.4 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:17.105	msAext.hmt:17.3 (2) vs msAext.hmt:17.4 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:18.506	msA.hmt:18.178 (19) vs msA.hmt:18.179 (14): 1.0 (7.14%)
urn:cts:greekLit:tlg0012.tlg001.msA:18.506	msA.hmt:18.180 (34) vs msA.hmt:18.178 (19): 7.0 (36.84%)
urn:cts:greekLit:tlg0012.tlg001.msA:18.506	msA.hmt:18.178 (19) vs msAim.hmt:18.57 (10): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:18.506	msA.hmt:18.178 (19) vs msAint.hmt:18.42 (5): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:18.506	msA.hmt:18.180 (34) vs msA.hmt:18.179 (14): 2.0 (14.29%)
urn:cts:greekLit:tlg0012.tlg001.msA:18.506	msA.hmt:18.179 (14) vs msAim.hmt:18.57 (10): 0.0 (0.0%)
